17 May 21:48:14,689 INFO - Log4j Properties configured.... 
24 May 21:56:58,474 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
24 May 21:56:58,609 INFO - Clearing on object locator : By.name: address1 
24 May 21:56:58,768 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
24 May 21:56:58,885 INFO - Clearing on object locator : By.name: city 
24 May 21:56:59,025 INFO - Sending data to the object locator : By.name: cityData is : HYD 
24 May 21:56:59,143 INFO - Clearing on object locator : By.name: postalCode 
24 May 21:56:59,326 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
24 May 21:56:59,790 INFO - Clearing on object locator : By.name: email 
24 May 21:57:00,016 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
24 May 21:57:00,243 INFO - Clearing on object locator : By.name: password 
24 May 21:57:00,493 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
24 May 21:57:00,696 INFO - Clearing on object locator : By.name: confirmPassword 
24 May 21:57:00,929 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
24 May 21:57:04,005 INFO - Clicking on the field : By.name: register 
24 May 21:57:04,374 INFO - Closing Browser 
24 May 22:01:46,451 INFO - Log4j Properties configured.... 
24 May 22:01:47,903 INFO - Excel Properties configured.... 
24 May 22:01:47,904 INFO - Seelcted Browser is : chrome 
24 May 22:01:47,905 INFO - Seelcted Browser mode is : head 
24 May 22:01:59,957 INFO - Browser Maximized 
24 May 22:01:59,958 INFO - Seelcted Environment is qa 
24 May 22:01:59,959 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
24 May 22:02:01,724 INFO - Clearing on object locator : By.name: firstName 
24 May 22:02:02,094 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
24 May 22:02:02,301 INFO - Clearing on object locator : By.name: lastName 
24 May 22:02:02,576 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
24 May 22:02:02,763 INFO - Clearing on object locator : By.name: phone 
24 May 22:02:03,015 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
24 May 22:02:03,195 INFO - Clearing on object locator : By.name: userName 
24 May 22:02:03,594 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
24 May 22:02:03,774 INFO - Clearing on object locator : By.name: address1 
24 May 22:02:03,965 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
24 May 22:02:04,105 INFO - Clearing on object locator : By.name: city 
24 May 22:02:04,319 INFO - Sending data to the object locator : By.name: cityData is : HYD 
24 May 22:02:04,452 INFO - Clearing on object locator : By.name: postalCode 
24 May 22:02:04,643 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
24 May 22:02:05,211 INFO - Clearing on object locator : By.name: email 
24 May 22:02:05,452 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
24 May 22:02:05,619 INFO - Clearing on object locator : By.name: password 
24 May 22:02:05,874 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
24 May 22:02:06,023 INFO - Clearing on object locator : By.name: confirmPassword 
24 May 22:02:06,272 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
24 May 22:02:10,260 INFO - Clicking on the field : By.name: register 
24 May 22:02:10,742 INFO - Closing Browser 
24 May 22:04:20,208 INFO - Log4j Properties configured.... 
24 May 22:04:21,565 INFO - Excel Properties configured.... 
24 May 22:04:21,566 INFO - Seelcted Browser is : chrome 
24 May 22:04:21,566 INFO - Seelcted Browser mode is : head 
24 May 22:04:33,366 INFO - Browser Maximized 
24 May 22:04:33,367 INFO - Seelcted Environment is qa 
24 May 22:04:33,368 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
24 May 22:04:35,114 INFO - Clearing on object locator : By.name: firstName 
24 May 22:04:35,475 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
24 May 22:04:35,651 INFO - Clearing on object locator : By.name: lastName 
24 May 22:04:35,886 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
24 May 22:04:36,029 INFO - Clearing on object locator : By.name: phone 
24 May 22:04:36,239 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
24 May 22:04:36,368 INFO - Clearing on object locator : By.name: userName 
24 May 22:04:36,703 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
24 May 22:04:36,828 INFO - Clearing on object locator : By.name: address1 
24 May 22:04:36,967 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
24 May 22:04:37,096 INFO - Clearing on object locator : By.name: city 
24 May 22:04:37,231 INFO - Sending data to the object locator : By.name: cityData is : HYD 
24 May 22:04:37,353 INFO - Clearing on object locator : By.name: postalCode 
24 May 22:04:37,522 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
24 May 22:04:38,001 INFO - Clearing on object locator : By.name: email 
24 May 22:04:38,217 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
24 May 22:04:38,355 INFO - Clearing on object locator : By.name: password 
24 May 22:04:38,598 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
24 May 22:04:38,734 INFO - Clearing on object locator : By.name: confirmPassword 
24 May 22:04:38,983 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
24 May 22:05:16,455 INFO - Clicking on the field : By.name: register 
24 May 22:05:16,688 INFO - Closing Browser 
24 May 22:10:48,658 INFO - Log4j Properties configured.... 
24 May 22:10:50,009 INFO - Excel Properties configured.... 
24 May 22:10:50,010 INFO - Seelcted Browser is : chrome 
24 May 22:10:50,011 INFO - Seelcted Browser mode is : head 
24 May 22:11:01,881 INFO - Browser Maximized 
24 May 22:11:01,882 INFO - Seelcted Environment is qa 
24 May 22:11:01,883 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
24 May 22:11:03,458 INFO - Clearing on object locator : By.name: firstName 
24 May 22:11:04,189 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
24 May 22:11:04,850 INFO - Clearing on object locator : By.name: lastName 
24 May 22:11:05,484 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
24 May 22:11:06,006 INFO - Clearing on object locator : By.name: phone 
24 May 22:11:06,623 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
24 May 22:11:07,089 INFO - Clearing on object locator : By.name: userName 
24 May 22:11:07,744 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
24 May 22:11:08,188 INFO - Clearing on object locator : By.name: address1 
24 May 22:11:08,716 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
24 May 22:11:09,170 INFO - Clearing on object locator : By.name: city 
24 May 22:11:09,695 INFO - Sending data to the object locator : By.name: cityData is : HYD 
24 May 22:11:10,165 INFO - Clearing on object locator : By.name: postalCode 
24 May 22:11:10,677 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
24 May 22:11:11,472 INFO - Clearing on object locator : By.name: email 
24 May 22:11:12,015 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
24 May 22:11:12,516 INFO - Clearing on object locator : By.name: password 
24 May 22:11:13,093 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
24 May 22:11:13,547 INFO - Clearing on object locator : By.name: confirmPassword 
24 May 22:11:14,053 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
24 May 22:11:28,754 INFO - Clicking on the field : By.name: register 
24 May 22:11:29,368 INFO - Closing Browser 
25 May 18:37:10,437 INFO - Log4j Properties configured.... 
25 May 18:37:11,445 INFO - Excel Properties configured.... 
25 May 18:37:11,445 INFO - Seelcted Browser is : chrome 
25 May 18:37:11,446 INFO - Seelcted Browser mode is : head 
25 May 18:37:24,913 INFO - Browser Maximized 
25 May 18:37:24,947 INFO - Seelcted Environment is qa 
25 May 18:37:24,948 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
25 May 18:37:33,032 INFO - Clearing on object locator : By.name: firstName 
25 May 18:38:33,909 ERROR - Clearing on object locator failed: By.name: firstName 
25 May 18:38:33,910 ERROR - timeout: Timed out receiving message from renderer: 10.000
  (Session info: chrome=80.0.3987.163)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-SLUDRAJ', ip: '192.168.0.104', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_221'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 80.0.3987.163, chrome: {chromedriverVersion: 80.0.3987.106 (f68069574609..., userDataDir: C:\WINDOWS\TEMP\scoped_dir1...}, goog:chromeOptions: {debuggerAddress: localhost:52594}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 296f0e097efc339bb104ce6c3add1f0b 
25 May 18:39:39,645 INFO - Closing Browser 
25 May 18:40:37,805 INFO - Log4j Properties configured.... 
25 May 18:40:39,047 INFO - Excel Properties configured.... 
25 May 18:40:39,047 INFO - Seelcted Browser is : chrome 
25 May 18:40:39,048 INFO - Seelcted Browser mode is : head 
25 May 18:40:52,362 INFO - Browser Maximized 
25 May 18:40:52,364 INFO - Seelcted Environment is qa 
25 May 18:40:52,364 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
25 May 18:40:54,856 INFO - Clearing on object locator : By.name: firstName 
25 May 18:40:55,438 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
25 May 18:40:55,823 INFO - Clearing on object locator : By.name: lastName 
25 May 18:40:56,254 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
25 May 18:40:56,614 INFO - Clearing on object locator : By.name: phone 
25 May 18:40:57,023 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
25 May 18:40:57,403 INFO - Clearing on object locator : By.name: userName 
25 May 18:40:57,853 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
25 May 18:40:58,240 INFO - Clearing on object locator : By.name: address1 
25 May 18:40:58,637 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
25 May 18:40:58,994 INFO - Clearing on object locator : By.name: city 
25 May 18:40:59,408 INFO - Sending data to the object locator : By.name: cityData is : HYD 
25 May 18:40:59,774 INFO - Clearing on object locator : By.name: postalCode 
25 May 18:41:00,204 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
25 May 18:41:00,823 INFO - Clearing on object locator : By.name: email 
25 May 18:41:01,250 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
25 May 18:41:01,693 INFO - Clearing on object locator : By.name: password 
25 May 18:41:02,109 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
25 May 18:41:02,529 INFO - Clearing on object locator : By.name: confirmPassword 
25 May 18:41:02,959 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
25 May 18:41:14,259 INFO - Clicking on the field : By.name: register 
25 May 18:41:14,626 INFO - Closing Browser 
25 May 18:48:35,102 INFO - Log4j Properties configured.... 
25 May 18:48:35,950 INFO - Excel Properties configured.... 
25 May 18:48:35,951 INFO - Seelcted Browser is : chrome 
25 May 18:48:35,951 INFO - Seelcted Browser mode is : head 
25 May 18:48:49,177 INFO - Browser Maximized 
25 May 18:48:49,178 INFO - Seelcted Environment is qa 
25 May 18:48:49,179 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
25 May 18:48:56,145 INFO - Clearing on object locator : By.name: firstName 
25 May 18:49:57,060 ERROR - Clearing on object locator failed: By.name: firstName 
25 May 18:49:57,061 ERROR - timeout: Timed out receiving message from renderer: 9.997
  (Session info: chrome=80.0.3987.163)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-SLUDRAJ', ip: '192.168.0.104', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_221'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 80.0.3987.163, chrome: {chromedriverVersion: 80.0.3987.106 (f68069574609..., userDataDir: C:\WINDOWS\TEMP\scoped_dir1...}, goog:chromeOptions: {debuggerAddress: localhost:52923}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 67d6819bb37406084471538213c9bb3e 
25 May 18:50:56,537 INFO - Log4j Properties configured.... 
25 May 18:50:57,393 INFO - Excel Properties configured.... 
25 May 18:50:57,393 INFO - Seelcted Browser is : chrome 
25 May 18:50:57,393 INFO - Seelcted Browser mode is : head 
25 May 18:51:08,724 INFO - Browser Maximized 
25 May 18:51:08,728 INFO - Seelcted Environment is qa 
25 May 18:51:08,728 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
25 May 18:51:10,715 INFO - Clearing on object locator : By.name: firstName 
25 May 18:51:11,385 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
25 May 18:51:11,933 INFO - Clearing on object locator : By.name: lastName 
25 May 18:51:12,532 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
25 May 18:51:13,005 INFO - Clearing on object locator : By.name: phone 
25 May 18:51:13,493 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
25 May 18:51:13,917 INFO - Clearing on object locator : By.name: userName 
25 May 18:51:14,482 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
25 May 18:51:14,920 INFO - Clearing on object locator : By.name: address1 
25 May 18:51:15,340 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
25 May 18:51:15,720 INFO - Clearing on object locator : By.name: city 
25 May 18:51:16,100 INFO - Sending data to the object locator : By.name: cityData is : HYD 
25 May 18:51:16,472 INFO - Clearing on object locator : By.name: postalCode 
25 May 18:51:16,916 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
25 May 18:51:17,664 INFO - Clearing on object locator : By.name: email 
25 May 18:51:18,120 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
25 May 18:51:18,604 INFO - Clearing on object locator : By.name: password 
25 May 18:51:19,139 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
25 May 18:51:19,554 INFO - Clearing on object locator : By.name: confirmPassword 
25 May 18:51:20,018 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
25 May 18:51:41,800 INFO - Clicking on the field : By.name: register 
25 May 18:51:42,440 INFO - Closing Browser 
06 Jun 21:19:07,915 INFO - Log4j Properties configured.... 
06 Jun 21:19:09,370 INFO - Excel Properties configured.... 
06 Jun 21:19:09,370 INFO - Seelcted Browser is : chrome 
06 Jun 21:19:09,371 INFO - Seelcted Browser mode is : head 
06 Jun 21:19:26,434 INFO - Browser Maximized 
06 Jun 21:19:26,506 INFO - Seelcted Environment is qa 
06 Jun 21:19:26,506 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
06 Jun 21:19:39,775 INFO - Clearing on object locator : By.name: firstName 
06 Jun 21:19:53,230 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
06 Jun 21:20:00,664 INFO - Clearing on object locator : By.name: lastName 
06 Jun 21:20:17,937 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
06 Jun 21:20:25,174 INFO - Clearing on object locator : By.name: phone 
06 Jun 21:20:34,739 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
06 Jun 21:20:34,929 INFO - Clearing on object locator : By.name: userName 
06 Jun 21:20:35,267 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
06 Jun 21:20:35,390 INFO - Clearing on object locator : By.name: address1 
06 Jun 21:20:35,557 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
06 Jun 21:20:35,689 INFO - Clearing on object locator : By.name: city 
06 Jun 21:20:35,874 INFO - Sending data to the object locator : By.name: cityData is : HYD 
06 Jun 21:20:35,991 INFO - Clearing on object locator : By.name: postalCode 
06 Jun 21:20:36,166 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
06 Jun 21:20:36,617 INFO - Clearing on object locator : By.name: email 
06 Jun 21:20:36,837 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
06 Jun 21:20:37,038 INFO - Clearing on object locator : By.name: password 
06 Jun 21:20:37,356 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
06 Jun 21:20:37,603 INFO - Clearing on object locator : By.name: confirmPassword 
06 Jun 21:20:37,919 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
06 Jun 21:20:39,784 INFO - Clicking on the field : By.name: register 
06 Jun 21:20:39,909 INFO - Closing Browser 
27 Jun 22:23:29,803 INFO - Log4j Properties configured.... 
27 Jun 22:23:33,122 INFO - Excel Properties configured.... 
27 Jun 22:23:33,123 INFO - Seelcted Browser is : chrome 
27 Jun 22:23:33,123 INFO - Seelcted Browser mode is : head 
27 Jun 22:23:49,824 INFO - Browser Maximized 
27 Jun 22:23:49,849 INFO - Seelcted Environment is qa 
27 Jun 22:23:49,849 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
27 Jun 22:23:51,779 INFO - Clearing on object locator : By.name: firstName 
27 Jun 22:23:52,072 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
27 Jun 22:23:52,224 INFO - Clearing on object locator : By.name: lastName 
27 Jun 22:23:52,432 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
27 Jun 22:23:52,568 INFO - Clearing on object locator : By.name: phone 
27 Jun 22:23:52,751 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
27 Jun 22:23:53,075 INFO - Clearing on object locator : By.name: userName 
27 Jun 22:23:53,352 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
27 Jun 22:23:53,469 INFO - Clearing on object locator : By.name: address1 
27 Jun 22:23:53,621 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
27 Jun 22:23:53,784 INFO - Clearing on object locator : By.name: city 
27 Jun 22:23:53,992 INFO - Sending data to the object locator : By.name: cityData is : HYD 
27 Jun 22:23:54,118 INFO - Clearing on object locator : By.name: postalCode 
27 Jun 22:23:54,258 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
27 Jun 22:23:54,748 INFO - Clearing on object locator : By.name: email 
27 Jun 22:23:54,954 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
27 Jun 22:23:55,097 INFO - Clearing on object locator : By.name: password 
27 Jun 22:23:55,325 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
27 Jun 22:23:55,473 INFO - Clearing on object locator : By.name: confirmPassword 
27 Jun 22:23:55,671 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
27 Jun 22:23:57,574 INFO - Clicking on the field : By.name: register 
27 Jun 22:24:01,856 INFO - Closing Browser 
